Tactics,Sentence
Collection,"Indrik Spider initially started with the Dridex banking Trojan, and then by 2017 they began running ransomware operations using BitPaymer, WastedLocker, and Hades ransomware."
Execution,"Indrik Spider initially started with the Dridex banking Trojan, and then by 2017 they began running ransomware operations using BitPaymer, WastedLocker, and Hades ransomware."
Privilege Escalation,"Indrik Spider initially started with the Dridex banking Trojan, and then by 2017 they began running ransomware operations using BitPaymer, WastedLocker, and Hades ransomware."
Initial Access,"Indrik Spider initially started with the Dridex banking Trojan, and then by 2017 they began running ransomware operations using BitPaymer, WastedLocker, and Hades ransomware."
Impact,"Indrik Spider initially started with the Dridex banking Trojan, and then by 2017 they began running ransomware operations using BitPaymer, WastedLocker, and Hades ransomware."
Command and Control,"Indrik Spider initially started with the Dridex banking Trojan, and then by 2017 they began running ransomware operations using BitPaymer, WastedLocker, and Hades ransomware."
Credential Access,"sanctions and an indictment in 2019, Indrik Spider changed their tactics and diversified their toolset."
Resource Development,"sanctions and an indictment in 2019, Indrik Spider changed their tactics and diversified their toolset."
Persistence,"sanctions and an indictment in 2019, Indrik Spider changed their tactics and diversified their toolset."
Defense Evasion,"sanctions and an indictment in 2019, Indrik Spider changed their tactics and diversified their toolset."
Discovery,"sanctions and an indictment in 2019, Indrik Spider changed their tactics and diversified their toolset."
Collection,"sanctions and an indictment in 2019, Indrik Spider changed their tactics and diversified their toolset."
Execution,"sanctions and an indictment in 2019, Indrik Spider changed their tactics and diversified their toolset."
Privilege Escalation,"sanctions and an indictment in 2019, Indrik Spider changed their tactics and diversified their toolset."
Initial Access,"sanctions and an indictment in 2019, Indrik Spider changed their tactics and diversified their toolset."
Impact,"sanctions and an indictment in 2019, Indrik Spider changed their tactics and diversified their toolset."
Command and Control,"sanctions and an indictment in 2019, Indrik Spider changed their tactics and diversified their toolset."
Command and Control,"SombRAT is a modular backdoor written in C++ that has been used since at least 2019 to download and execute malicious payloads, including FIVEHANDS ransomware."
Discovery,"SombRAT is a modular backdoor written in C++ that has been used since at least 2019 to download and execute malicious payloads, including FIVEHANDS ransomware."
Defense Evasion,"SombRAT is a modular backdoor written in C++ that has been used since at least 2019 to download and execute malicious payloads, including FIVEHANDS ransomware."
Collection,"SombRAT is a modular backdoor written in C++ that has been used since at least 2019 to download and execute malicious payloads, including FIVEHANDS ransomware."
Execution,"SombRAT is a modular backdoor written in C++ that has been used since at least 2019 to download and execute malicious payloads, including FIVEHANDS ransomware."
Exfiltration,"SombRAT is a modular backdoor written in C++ that has been used since at least 2019 to download and execute malicious payloads, including FIVEHANDS ransomware."
Privilege Escalation,"SombRAT is a modular backdoor written in C++ that has been used since at least 2019 to download and execute malicious payloads, including FIVEHANDS ransomware."
Discovery,GoldFinder is a custom HTTP tracer tool written in Go that logs the route a packet takes between a compromised network and a C2 server.
Collection,GoldFinder is a custom HTTP tracer tool written in Go that logs the route a packet takes between a compromised network and a C2 server.
Command and Control,GoldFinder is a custom HTTP tracer tool written in Go that logs the route a packet takes between a compromised network and a C2 server.
Discovery,"It can be used to inform threat actors of potential points of discovery or logging of their actions, including C2 related to other malware."
Collection,"It can be used to inform threat actors of potential points of discovery or logging of their actions, including C2 related to other malware."
Command and Control,"It can be used to inform threat actors of potential points of discovery or logging of their actions, including C2 related to other malware."
Discovery,GoldFinder was discovered in early 2021 during an investigation into the SolarWinds Compromise by APT29.
Collection,GoldFinder was discovered in early 2021 during an investigation into the SolarWinds Compromise by APT29.
Command and Control,GoldFinder was discovered in early 2021 during an investigation into the SolarWinds Compromise by APT29.
Command and Control,"Cobalt Strike is a commercial, full-featured, remote access tool that bills itself as 'adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors' "
Privilege Escalation,"Cobalt Strike is a commercial, full-featured, remote access tool that bills itself as 'adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors' "
Defense Evasion,"Cobalt Strike is a commercial, full-featured, remote access tool that bills itself as 'adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors' "
Execution,"Cobalt Strike is a commercial, full-featured, remote access tool that bills itself as 'adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors' "
Lateral Movement,"Cobalt Strike is a commercial, full-featured, remote access tool that bills itself as 'adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors' "
Persistence,"Cobalt Strike is a commercial, full-featured, remote access tool that bills itself as 'adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors' "
Initial Access,"Cobalt Strike is a commercial, full-featured, remote access tool that bills itself as 'adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors' "
Discovery,"Cobalt Strike is a commercial, full-featured, remote access tool that bills itself as 'adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors' "
Collection,"Cobalt Strike is a commercial, full-featured, remote access tool that bills itself as 'adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors' "
Credential Access,"Cobalt Strike is a commercial, full-featured, remote access tool that bills itself as 'adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors' "
Exfiltration,"Cobalt Strike is a commercial, full-featured, remote access tool that bills itself as 'adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors' "
Command and Control,"Cobalt Strike's interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system."
Privilege Escalation,"Cobalt Strike's interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system."
Defense Evasion,"Cobalt Strike's interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system."
Execution,"Cobalt Strike's interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system."
Lateral Movement,"Cobalt Strike's interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system."
Persistence,"Cobalt Strike's interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system."
Initial Access,"Cobalt Strike's interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system."
Discovery,"Cobalt Strike's interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system."
Collection,"Cobalt Strike's interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system."
Credential Access,"Cobalt Strike's interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system."
Exfiltration,"Cobalt Strike's interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system."
Command and Control,"In addition to its own capabilities, Cobalt Strike leverages the capabilities of other well-known tools such as Metasploit and Mimikatz."
Privilege Escalation,"In addition to its own capabilities, Cobalt Strike leverages the capabilities of other well-known tools such as Metasploit and Mimikatz."
Defense Evasion,"In addition to its own capabilities, Cobalt Strike leverages the capabilities of other well-known tools such as Metasploit and Mimikatz."
Execution,"In addition to its own capabilities, Cobalt Strike leverages the capabilities of other well-known tools such as Metasploit and Mimikatz."
Lateral Movement,"In addition to its own capabilities, Cobalt Strike leverages the capabilities of other well-known tools such as Metasploit and Mimikatz."
Persistence,"In addition to its own capabilities, Cobalt Strike leverages the capabilities of other well-known tools such as Metasploit and Mimikatz."
Initial Access,"In addition to its own capabilities, Cobalt Strike leverages the capabilities of other well-known tools such as Metasploit and Mimikatz."
Discovery,"In addition to its own capabilities, Cobalt Strike leverages the capabilities of other well-known tools such as Metasploit and Mimikatz."
Collection,"In addition to its own capabilities, Cobalt Strike leverages the capabilities of other well-known tools such as Metasploit and Mimikatz."
Credential Access,"In addition to its own capabilities, Cobalt Strike leverages the capabilities of other well-known tools such as Metasploit and Mimikatz."
Exfiltration,"In addition to its own capabilities, Cobalt Strike leverages the capabilities of other well-known tools such as Metasploit and Mimikatz."
Discovery,"Shamoon is wiper malware that was first used by an Iranian group known as the ""Cutting Sword of Justice"" in 2012."
Impact,"Shamoon is wiper malware that was first used by an Iranian group known as the ""Cutting Sword of Justice"" in 2012."
Lateral Movement,"Shamoon is wiper malware that was first used by an Iranian group known as the ""Cutting Sword of Justice"" in 2012."
Defense Evasion,"Shamoon is wiper malware that was first used by an Iranian group known as the ""Cutting Sword of Justice"" in 2012."
Command and Control,"Shamoon is wiper malware that was first used by an Iranian group known as the ""Cutting Sword of Justice"" in 2012."
Persistence,"Shamoon is wiper malware that was first used by an Iranian group known as the ""Cutting Sword of Justice"" in 2012."
Privilege Escalation,"Shamoon is wiper malware that was first used by an Iranian group known as the ""Cutting Sword of Justice"" in 2012."
Initial Access,"Shamoon is wiper malware that was first used by an Iranian group known as the ""Cutting Sword of Justice"" in 2012."
Execution,"Shamoon is wiper malware that was first used by an Iranian group known as the ""Cutting Sword of Justice"" in 2012."
Discovery,Other versions known as Shamoon 2 and Shamoon 3 were observed in 2016 and 2018.
Impact,Other versions known as Shamoon 2 and Shamoon 3 were observed in 2016 and 2018.
Lateral Movement,Other versions known as Shamoon 2 and Shamoon 3 were observed in 2016 and 2018.
Defense Evasion,Other versions known as Shamoon 2 and Shamoon 3 were observed in 2016 and 2018.
Command and Control,Other versions known as Shamoon 2 and Shamoon 3 were observed in 2016 and 2018.
Persistence,Other versions known as Shamoon 2 and Shamoon 3 were observed in 2016 and 2018.
Privilege Escalation,Other versions known as Shamoon 2 and Shamoon 3 were observed in 2016 and 2018.
Initial Access,Other versions known as Shamoon 2 and Shamoon 3 were observed in 2016 and 2018.
Execution,Other versions known as Shamoon 2 and Shamoon 3 were observed in 2016 and 2018.
Discovery,Shamoon has also been seen leveraging RawDisk and Filerase to carry out data wiping tasks.
Impact,Shamoon has also been seen leveraging RawDisk and Filerase to carry out data wiping tasks.
Lateral Movement,Shamoon has also been seen leveraging RawDisk and Filerase to carry out data wiping tasks.
Defense Evasion,Shamoon has also been seen leveraging RawDisk and Filerase to carry out data wiping tasks.
Command and Control,Shamoon has also been seen leveraging RawDisk and Filerase to carry out data wiping tasks.
Persistence,Shamoon has also been seen leveraging RawDisk and Filerase to carry out data wiping tasks.
Privilege Escalation,Shamoon has also been seen leveraging RawDisk and Filerase to carry out data wiping tasks.
Initial Access,Shamoon has also been seen leveraging RawDisk and Filerase to carry out data wiping tasks.
Execution,Shamoon has also been seen leveraging RawDisk and Filerase to carry out data wiping tasks.
Discovery,Analysis has linked Shamoon with Kwampirs based on multiple shared artifacts and coding patterns.
Impact,Analysis has linked Shamoon with Kwampirs based on multiple shared artifacts and coding patterns.
Lateral Movement,Analysis has linked Shamoon with Kwampirs based on multiple shared artifacts and coding patterns.
Defense Evasion,Analysis has linked Shamoon with Kwampirs based on multiple shared artifacts and coding patterns.
Command and Control,Analysis has linked Shamoon with Kwampirs based on multiple shared artifacts and coding patterns.
Persistence,Analysis has linked Shamoon with Kwampirs based on multiple shared artifacts and coding patterns.
Privilege Escalation,Analysis has linked Shamoon with Kwampirs based on multiple shared artifacts and coding patterns.
Initial Access,Analysis has linked Shamoon with Kwampirs based on multiple shared artifacts and coding patterns.
Execution,Analysis has linked Shamoon with Kwampirs based on multiple shared artifacts and coding patterns.
Discovery,The term Shamoon is sometimes used to refer to the group using the malware as well as the malware itself.
Impact,The term Shamoon is sometimes used to refer to the group using the malware as well as the malware itself.
Lateral Movement,The term Shamoon is sometimes used to refer to the group using the malware as well as the malware itself.
Defense Evasion,The term Shamoon is sometimes used to refer to the group using the malware as well as the malware itself.
Command and Control,The term Shamoon is sometimes used to refer to the group using the malware as well as the malware itself.
Persistence,The term Shamoon is sometimes used to refer to the group using the malware as well as the malware itself.
Privilege Escalation,The term Shamoon is sometimes used to refer to the group using the malware as well as the malware itself.
Initial Access,The term Shamoon is sometimes used to refer to the group using the malware as well as the malware itself.
Execution,The term Shamoon is sometimes used to refer to the group using the malware as well as the malware itself.
Discovery,Micropsia is a remote access tool written in Delphi.
Collection,Micropsia is a remote access tool written in Delphi.
Credential Access,Micropsia is a remote access tool written in Delphi.
Execution,Micropsia is a remote access tool written in Delphi.
Persistence,Micropsia is a remote access tool written in Delphi.
Privilege Escalation,Micropsia is a remote access tool written in Delphi.
Command and Control,Micropsia is a remote access tool written in Delphi.
Defense Evasion,Micropsia is a remote access tool written in Delphi.
Command and Control,C0027 was a financially-motivated campaign linked to Scattered Spider that targeted telecommunications and business process outsourcing BPO companies from at least June through December of 2022.
Initial Access,C0027 was a financially-motivated campaign linked to Scattered Spider that targeted telecommunications and business process outsourcing BPO companies from at least June through December of 2022.
Discovery,C0027 was a financially-motivated campaign linked to Scattered Spider that targeted telecommunications and business process outsourcing BPO companies from at least June through December of 2022.
Reconnaissance,C0027 was a financially-motivated campaign linked to Scattered Spider that targeted telecommunications and business process outsourcing BPO companies from at least June through December of 2022.
Credential Access,C0027 was a financially-motivated campaign linked to Scattered Spider that targeted telecommunications and business process outsourcing BPO companies from at least June through December of 2022.
Persistence,C0027 was a financially-motivated campaign linked to Scattered Spider that targeted telecommunications and business process outsourcing BPO companies from at least June through December of 2022.
Privilege Escalation,C0027 was a financially-motivated campaign linked to Scattered Spider that targeted telecommunications and business process outsourcing BPO companies from at least June through December of 2022.
Defense Evasion,C0027 was a financially-motivated campaign linked to Scattered Spider that targeted telecommunications and business process outsourcing BPO companies from at least June through December of 2022.
Lateral Movement,C0027 was a financially-motivated campaign linked to Scattered Spider that targeted telecommunications and business process outsourcing BPO companies from at least June through December of 2022.
Collection,C0027 was a financially-motivated campaign linked to Scattered Spider that targeted telecommunications and business process outsourcing BPO companies from at least June through December of 2022.
Execution,C0027 was a financially-motivated campaign linked to Scattered Spider that targeted telecommunications and business process outsourcing BPO companies from at least June through December of 2022.
Resource Development,C0027 was a financially-motivated campaign linked to Scattered Spider that targeted telecommunications and business process outsourcing BPO companies from at least June through December of 2022.
Command and Control,"During C0027 Scattered Spider used various forms of social engineering, performed SIM swapping, and attempted to leverage access from victim environments to mobile carrier networks."
Initial Access,"During C0027 Scattered Spider used various forms of social engineering, performed SIM swapping, and attempted to leverage access from victim environments to mobile carrier networks."
Discovery,"During C0027 Scattered Spider used various forms of social engineering, performed SIM swapping, and attempted to leverage access from victim environments to mobile carrier networks."
Reconnaissance,"During C0027 Scattered Spider used various forms of social engineering, performed SIM swapping, and attempted to leverage access from victim environments to mobile carrier networks."
Credential Access,"During C0027 Scattered Spider used various forms of social engineering, performed SIM swapping, and attempted to leverage access from victim environments to mobile carrier networks."
Persistence,"During C0027 Scattered Spider used various forms of social engineering, performed SIM swapping, and attempted to leverage access from victim environments to mobile carrier networks."
Privilege Escalation,"During C0027 Scattered Spider used various forms of social engineering, performed SIM swapping, and attempted to leverage access from victim environments to mobile carrier networks."
Defense Evasion,"During C0027 Scattered Spider used various forms of social engineering, performed SIM swapping, and attempted to leverage access from victim environments to mobile carrier networks."
Lateral Movement,"During C0027 Scattered Spider used various forms of social engineering, performed SIM swapping, and attempted to leverage access from victim environments to mobile carrier networks."
Collection,"During C0027 Scattered Spider used various forms of social engineering, performed SIM swapping, and attempted to leverage access from victim environments to mobile carrier networks."
Execution,"During C0027 Scattered Spider used various forms of social engineering, performed SIM swapping, and attempted to leverage access from victim environments to mobile carrier networks."
Resource Development,"During C0027 Scattered Spider used various forms of social engineering, performed SIM swapping, and attempted to leverage access from victim environments to mobile carrier networks."
Credential Access,LuminousMoth is a Chinese-speaking cyber espionage group that has been active since at least October 2020.
Exfiltration,LuminousMoth is a Chinese-speaking cyber espionage group that has been active since at least October 2020.
Initial Access,LuminousMoth is a Chinese-speaking cyber espionage group that has been active since at least October 2020.
Resource Development,LuminousMoth is a Chinese-speaking cyber espionage group that has been active since at least October 2020.
Defense Evasion,LuminousMoth is a Chinese-speaking cyber espionage group that has been active since at least October 2020.
Lateral Movement,LuminousMoth is a Chinese-speaking cyber espionage group that has been active since at least October 2020.
Command and Control,LuminousMoth is a Chinese-speaking cyber espionage group that has been active since at least October 2020.
Collection,LuminousMoth is a Chinese-speaking cyber espionage group that has been active since at least October 2020.
Execution,LuminousMoth is a Chinese-speaking cyber espionage group that has been active since at least October 2020.
Persistence,LuminousMoth is a Chinese-speaking cyber espionage group that has been active since at least October 2020.
Privilege Escalation,LuminousMoth is a Chinese-speaking cyber espionage group that has been active since at least October 2020.
Discovery,LuminousMoth is a Chinese-speaking cyber espionage group that has been active since at least October 2020.
Credential Access,"LuminousMoth has targeted high-profile organizations, including government entities, in Myanmar, the Philippines, Thailand, and other parts of Southeast Asia."
Exfiltration,"LuminousMoth has targeted high-profile organizations, including government entities, in Myanmar, the Philippines, Thailand, and other parts of Southeast Asia."
Initial Access,"LuminousMoth has targeted high-profile organizations, including government entities, in Myanmar, the Philippines, Thailand, and other parts of Southeast Asia."
Resource Development,"LuminousMoth has targeted high-profile organizations, including government entities, in Myanmar, the Philippines, Thailand, and other parts of Southeast Asia."
Defense Evasion,"LuminousMoth has targeted high-profile organizations, including government entities, in Myanmar, the Philippines, Thailand, and other parts of Southeast Asia."
Lateral Movement,"LuminousMoth has targeted high-profile organizations, including government entities, in Myanmar, the Philippines, Thailand, and other parts of Southeast Asia."
Command and Control,"LuminousMoth has targeted high-profile organizations, including government entities, in Myanmar, the Philippines, Thailand, and other parts of Southeast Asia."
Collection,"LuminousMoth has targeted high-profile organizations, including government entities, in Myanmar, the Philippines, Thailand, and other parts of Southeast Asia."
Execution,"LuminousMoth has targeted high-profile organizations, including government entities, in Myanmar, the Philippines, Thailand, and other parts of Southeast Asia."
Persistence,"LuminousMoth has targeted high-profile organizations, including government entities, in Myanmar, the Philippines, Thailand, and other parts of Southeast Asia."
Privilege Escalation,"LuminousMoth has targeted high-profile organizations, including government entities, in Myanmar, the Philippines, Thailand, and other parts of Southeast Asia."
Discovery,"LuminousMoth has targeted high-profile organizations, including government entities, in Myanmar, the Philippines, Thailand, and other parts of Southeast Asia."
Credential Access,"Some security researchers have concluded there is a connection between LuminousMoth and Mustang Panda based on similar targeting and TTPs, as well as network infrastructure overlaps."
Exfiltration,"Some security researchers have concluded there is a connection between LuminousMoth and Mustang Panda based on similar targeting and TTPs, as well as network infrastructure overlaps."
Initial Access,"Some security researchers have concluded there is a connection between LuminousMoth and Mustang Panda based on similar targeting and TTPs, as well as network infrastructure overlaps."
Resource Development,"Some security researchers have concluded there is a connection between LuminousMoth and Mustang Panda based on similar targeting and TTPs, as well as network infrastructure overlaps."
Defense Evasion,"Some security researchers have concluded there is a connection between LuminousMoth and Mustang Panda based on similar targeting and TTPs, as well as network infrastructure overlaps."
Lateral Movement,"Some security researchers have concluded there is a connection between LuminousMoth and Mustang Panda based on similar targeting and TTPs, as well as network infrastructure overlaps."
Command and Control,"Some security researchers have concluded there is a connection between LuminousMoth and Mustang Panda based on similar targeting and TTPs, as well as network infrastructure overlaps."
Collection,"Some security researchers have concluded there is a connection between LuminousMoth and Mustang Panda based on similar targeting and TTPs, as well as network infrastructure overlaps."
Execution,"Some security researchers have concluded there is a connection between LuminousMoth and Mustang Panda based on similar targeting and TTPs, as well as network infrastructure overlaps."
Persistence,"Some security researchers have concluded there is a connection between LuminousMoth and Mustang Panda based on similar targeting and TTPs, as well as network infrastructure overlaps."
Privilege Escalation,"Some security researchers have concluded there is a connection between LuminousMoth and Mustang Panda based on similar targeting and TTPs, as well as network infrastructure overlaps."
Discovery,"Some security researchers have concluded there is a connection between LuminousMoth and Mustang Panda based on similar targeting and TTPs, as well as network infrastructure overlaps."
Discovery,"Operation Wocao was a cyber espionage campaign that targeted organizations around the world, including in Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, the United Kingdom, and the United States."
Credential Access,"Operation Wocao was a cyber espionage campaign that targeted organizations around the world, including in Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, the United Kingdom, and the United States."
Collection,"Operation Wocao was a cyber espionage campaign that targeted organizations around the world, including in Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, the United Kingdom, and the United States."
Command and Control,"Operation Wocao was a cyber espionage campaign that targeted organizations around the world, including in Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, the United Kingdom, and the United States."
Resource Development,"Operation Wocao was a cyber espionage campaign that targeted organizations around the world, including in Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, the United Kingdom, and the United States."
Execution,"Operation Wocao was a cyber espionage campaign that targeted organizations around the world, including in Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, the United Kingdom, and the United States."
Initial Access,"Operation Wocao was a cyber espionage campaign that targeted organizations around the world, including in Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, the United Kingdom, and the United States."
Defense Evasion,"Operation Wocao was a cyber espionage campaign that targeted organizations around the world, including in Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, the United Kingdom, and the United States."
Persistence,"Operation Wocao was a cyber espionage campaign that targeted organizations around the world, including in Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, the United Kingdom, and the United States."
Privilege Escalation,"Operation Wocao was a cyber espionage campaign that targeted organizations around the world, including in Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, the United Kingdom, and the United States."
Lateral Movement,"Operation Wocao was a cyber espionage campaign that targeted organizations around the world, including in Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, the United Kingdom, and the United States."
Reconnaissance,"Operation Wocao was a cyber espionage campaign that targeted organizations around the world, including in Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, the United Kingdom, and the United States."
Exfiltration,"Operation Wocao was a cyber espionage campaign that targeted organizations around the world, including in Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, the United Kingdom, and the United States."
Discovery,"The suspected China-based actors compromised government organizations and managed service providers, as well as aviation, construction, energy, finance, health care, insurance, offshore engineering, software development, and transportation companies."
Credential Access,"The suspected China-based actors compromised government organizations and managed service providers, as well as aviation, construction, energy, finance, health care, insurance, offshore engineering, software development, and transportation companies."
Collection,"The suspected China-based actors compromised government organizations and managed service providers, as well as aviation, construction, energy, finance, health care, insurance, offshore engineering, software development, and transportation companies."
Command and Control,"The suspected China-based actors compromised government organizations and managed service providers, as well as aviation, construction, energy, finance, health care, insurance, offshore engineering, software development, and transportation companies."
Resource Development,"The suspected China-based actors compromised government organizations and managed service providers, as well as aviation, construction, energy, finance, health care, insurance, offshore engineering, software development, and transportation companies."
Execution,"The suspected China-based actors compromised government organizations and managed service providers, as well as aviation, construction, energy, finance, health care, insurance, offshore engineering, software development, and transportation companies."
Initial Access,"The suspected China-based actors compromised government organizations and managed service providers, as well as aviation, construction, energy, finance, health care, insurance, offshore engineering, software development, and transportation companies."
Defense Evasion,"The suspected China-based actors compromised government organizations and managed service providers, as well as aviation, construction, energy, finance, health care, insurance, offshore engineering, software development, and transportation companies."
Persistence,"The suspected China-based actors compromised government organizations and managed service providers, as well as aviation, construction, energy, finance, health care, insurance, offshore engineering, software development, and transportation companies."
Privilege Escalation,"The suspected China-based actors compromised government organizations and managed service providers, as well as aviation, construction, energy, finance, health care, insurance, offshore engineering, software development, and transportation companies."
Lateral Movement,"The suspected China-based actors compromised government organizations and managed service providers, as well as aviation, construction, energy, finance, health care, insurance, offshore engineering, software development, and transportation companies."
Reconnaissance,"The suspected China-based actors compromised government organizations and managed service providers, as well as aviation, construction, energy, finance, health care, insurance, offshore engineering, software development, and transportation companies."
Exfiltration,"The suspected China-based actors compromised government organizations and managed service providers, as well as aviation, construction, energy, finance, health care, insurance, offshore engineering, software development, and transportation companies."
Discovery,"Security researchers assessed the Operation Wocao actors used similar TTPs and tools as APT20, suggesting a possible overlap."
Credential Access,"Security researchers assessed the Operation Wocao actors used similar TTPs and tools as APT20, suggesting a possible overlap."
Collection,"Security researchers assessed the Operation Wocao actors used similar TTPs and tools as APT20, suggesting a possible overlap."
Command and Control,"Security researchers assessed the Operation Wocao actors used similar TTPs and tools as APT20, suggesting a possible overlap."
Resource Development,"Security researchers assessed the Operation Wocao actors used similar TTPs and tools as APT20, suggesting a possible overlap."
Execution,"Security researchers assessed the Operation Wocao actors used similar TTPs and tools as APT20, suggesting a possible overlap."
Initial Access,"Security researchers assessed the Operation Wocao actors used similar TTPs and tools as APT20, suggesting a possible overlap."
Defense Evasion,"Security researchers assessed the Operation Wocao actors used similar TTPs and tools as APT20, suggesting a possible overlap."
Persistence,"Security researchers assessed the Operation Wocao actors used similar TTPs and tools as APT20, suggesting a possible overlap."
Privilege Escalation,"Security researchers assessed the Operation Wocao actors used similar TTPs and tools as APT20, suggesting a possible overlap."
Lateral Movement,"Security researchers assessed the Operation Wocao actors used similar TTPs and tools as APT20, suggesting a possible overlap."
Reconnaissance,"Security researchers assessed the Operation Wocao actors used similar TTPs and tools as APT20, suggesting a possible overlap."
Exfiltration,"Security researchers assessed the Operation Wocao actors used similar TTPs and tools as APT20, suggesting a possible overlap."
Discovery,"Operation Wocao was named after an observed command line entry by one of the threat actors, possibly out of frustration from losing webshell access."
Credential Access,"Operation Wocao was named after an observed command line entry by one of the threat actors, possibly out of frustration from losing webshell access."
Collection,"Operation Wocao was named after an observed command line entry by one of the threat actors, possibly out of frustration from losing webshell access."
Command and Control,"Operation Wocao was named after an observed command line entry by one of the threat actors, possibly out of frustration from losing webshell access."
Resource Development,"Operation Wocao was named after an observed command line entry by one of the threat actors, possibly out of frustration from losing webshell access."
Execution,"Operation Wocao was named after an observed command line entry by one of the threat actors, possibly out of frustration from losing webshell access."
Initial Access,"Operation Wocao was named after an observed command line entry by one of the threat actors, possibly out of frustration from losing webshell access."
Defense Evasion,"Operation Wocao was named after an observed command line entry by one of the threat actors, possibly out of frustration from losing webshell access."
