Key,ParentTechniqueID,Value
T1020.001,T1020,Many cloud-based environments also support traffic mirroring.
T1204.002,T1204,Software has relied on a victim to enable malicious macros within an attachment delivered via email.
T1136.002,T1136,The <code>net user username \password \domain</code> commands in Software can be used to create a domain account.
T1055.002,T1055,Software can inject its backdoor as a portable executable into a target process.
T1069.001,T1069,Software can obtain a list of local groups and members.
T1071.003,T1071,Software has the ability to use a Microsoft Outlook backdoor macro to communicate with its C2.
T1071.004,T1071,Software has encoded outbound C2 communications in DNS requests consisting of character strings made to resemble standard domain names. The actual information transmitted by Software is contained in the part of the character string prior to the first ‘.’ character.
T1547.004,T1547,Software adds the Registry key <code>HKCU\Software\Microsoft\Windows NT\CurrentVersion\Winlogon</code> to establish persistence.
T1059.001,T1059,Examples include the <code>Start-Process</code> cmdlet which can be used to run an executable and the <code>Invoke-Command</code> cmdlet which runs a command locally or on a remote computer .
T1562.008,T1562,"In Office 365, an adversary may disable logging on mail collection activities for specific users by using the `Set-MailboxAuditBypassAssociation` cmdlet, by disabling M365 Advanced Auditing for the user, or by downgrading the user’s license from an Enterprise E5 to an Enterprise E3 license."
T1547.012,T1547,Software can drop itself in <code>C:\Windows\System32\spool\prtprocs\x64\winprint.dll</code> to be loaded automatically by the spoolsv Windows service.
T1548.002,T1548,Malicious software may also be injected into a trusted process to gain elevated privileges without prompting a user.
T1574.012,T1574,A process scope COR_PROFILER can also be created in-memory without modifying the Registry.
T1573.001,T1573,Software has encrypted C2 commands with AES-256.
T1588.001,T1588,"Adversaries may buy, steal, or download malware that can be used during targeting."
T1566.001,T1566,Attacker has sent spearphishing emails containing malicious attachments.
T1205.002,T1205,The filter may apply to all traffic passing through the specified network interface .
T1574.004,T1574,Adversaries may execute their own payloads by placing a malicious dynamic library  with an expected name in a path a victim application searches at runtime.
T1566.003,T1566,Attacker has used the legitimate mailing service Constant Contact to send phishing e-mails.
T1055.012,T1055,"Software can inject into a target process including Svchost, Explorer, and cmd using process hollowing."
T1071.001,T1071,Attacker has used HTTP to communicate with C2 nodes.
T1574.006,T1574,Adversaries may execute their own malicious payloads by hijacking environment variables the dynamic linker uses to load shared libraries.
T1584.001,T1584,Attacker has compromised domains to use for C2.
T1518.001,T1518,"Software can enumerate AWS security services, including WAF rules and GuardDuty detectors."
T1591.002,T1591,Attacker has gathered detailed knowledge of an organization's supply chain relationships.
T1569.001,T1569,"Launchctl supports taking subcommands on the command-line, interactively, or even redirected from standard input."
T1071.001,T1071,"An adversary may abuse these protocols to communicate with systems under their control within a victim network while also mimicking normal, expected traffic."
T1566.001,T1566,During the Attacker obtained their initial foothold into many IT systems using Microsoft Office attachments delivered through phishing emails.
T1053.005,T1053,In the Attacker installed scheduled tasks defined in XML files.
T1547.001,T1547,Software has modified the <code>HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run</code> key for persistence.
T1564.003,T1564,Software droppers have used COM properties to execute malware in hidden windows.
T1003.001,T1003,Software has been observed dropping password grabber modules including Software.
T1003.001,T1003,Software can dump credentials.
T1087.001,T1087,Software has a command to retrieve information about connected users.
T1055.004,T1055,Software has used the NtQueueApcThread syscall to inject code into svchost.exe.
T1195.002,T1195,Attacker has distributed ransomware by backdooring software installers via a strategic web compromise of the site hosting Italian WinRAR.
T1546.014,T1546,Adversaries may also be able to escalate privileges from administrator to root as the emond service is executed with root privileges by the  service.
T1552.003,T1552,"Bash keeps track of the commands users type on the command-line with the ""history"" utility."
T1218.014,T1218,"For example, <code>mmc wbadmin.msc delete catalog -quiet</code> deletes the backup catalog on the system (i.e."
T1585.001,T1585,Attacker has created fake LinkedIn and other social media accounts to contact targets and convince them--through messages and voice communications--to open malicious links.
T1564.001,T1564,Many applications create these hidden files and folders to store information so that it doesn’t clutter up the user’s workspace.
T1090.003,T1090,This method is dependent upon the  method allowing the adversaries to cross the protected network boundary of the Internet perimeter and into the organization’s Wide-Area Network .
T1566.002,T1566,Attacker has used spearphishing e-mails with malicious links to deliver malware.
T1056.002,T1056,Attacker has presented victims with spoofed Windows Authentication prompts to collect their credentials.
T1588.002,T1588,"Software, Software, and Software."
T1132.001,T1132,Software can use base64 encoded C2 communications.
T1037.005,T1037,"A startup item is a directory whose executable and configuration property list , <code>StartupParameters.plist</code>, reside in the top-level directory."
T1027.013,T1027,Software encrypts the configuration.
T1055.015,T1055,"Some variations of ListPlanting may allocate memory in the target process but then use window messages to copy the payload, to avoid the use of the highly monitored <code>WriteProcessMemory</code> function."
T1555.003,T1555,Software can steal data and credentials from browsers.
T1566.002,T1566,Attacker has sent phishing emails containing a link to an actor-controlled Google Drive document or other free online file hosting services.
T1573.001,T1573,Software encrypts C2 traffic using RC4 with a static key.
T1070.007,T1070,"Similarly, macOS and Linux hosts may store information highlighting connection history in system logs ."
T1564.009,T1564,Adversaries can use resource forks to hide malicious data that may otherwise be stored directly in files.
T1003.006,T1003,Adversaries may attempt to access credentials and other sensitive information by abusing a Windows Domain Controller's application programming interface     to simulate the replication process from a remote domain controller using a technique called DCSync.
T1608.001,T1608,"Attacker  has uploaded malicious payloads to file-sharing services including TransferNow, TransferXL, WeTransfer, and OneDrive."
T1059.001,T1059,Attacker used PowerShell commands to execute payloads.
T1027.010,T1027,Attacker has used obfuscated variable names in a JavaScript configuration file.
T1588.005,T1588,Attacker has obtained exploit code for various CVEs.
T1562.006,T1562,"Attacker developed a custom injector that enables an Event Tracing for Windows  bypass, making malicious processes invisible to Windows logging."
T1087.003,T1087,"In Google Workspace, the GAL is shared with Microsoft Outlook users through the Google Workspace Sync for Microsoft Outlook  service."
T1071.001,T1071,Software can use HTTPS in C2 communications.
T1090.003,T1090,During Software exit nodes.
T1218.010,T1218,Software has used regsvr32.exe to execute components of VirtualBox.
T1553.002,T1553,Software has been signed with stolen certificates in order to make it look more legitimate.
T1070.004,T1070,Software can run a `Clear Agents Track` command on an infected machine to delete Software-related logs.
T1127.001,T1127,Adversaries can abuse MSBuild to proxy execution of malicious code.
T1021.005,T1021,"Adversaries may abuse VNC to perform malicious actions as the logged-on user such as opening documents, downloading files, and running arbitrary commands."
T1134.002,T1134,Software can launch an instance of itself with administrative rights using runas.
T1059.007,T1059,Software has used JavaScript and Node.Js information stealer script that exfiltrates data using the node process.
T1059.003,T1059,"During , the threat actors ran a command script to set up persistence as a scheduled task named ""WinUpdate"", as well as other encoded commands from the command-line"
T1546.004,T1546,"These configuration scripts run at the permission level of their directory and are often used to set environment variables, create aliases, and customize the user’s environment."
T1059.003,T1059,Software can enable Windows CLI access and execute files.
T1566.002,T1566,"In this case, the malicious emails contain links."
T1036.005,T1036,Software has mimicked the Cron binary to hide itself on compromised systems.
T1090.001,T1090,Software supports peer connections.
T1059.001,T1059,"Attacker malware uses PowerShell commands to perform various functions, including gathering system information via WMI and executing commands from its C2 server."
T1555.003,T1555,Attacker used the public tool BrowserPasswordDump10 to dump passwords saved in browsers on victims.
T1573.001,T1573,Software has used an RC4-based encryption method for its C2 communications.
T1055.011,T1055,Execution via EWM injection may also evade detection from security products since the execution is masked under a legitimate process.
T1053.005,T1053,Software has the ability to achieve persistence by adding a new task in the task scheduler to run every minute.
T1546.003,T1546,"Examples of events that may be subscribed to are the wall clock time, user login, or the computer's uptime."
T1021.001,T1021,Attacker has moved laterally via RDP.
T1553.002,T1553,"For , the threat actors used DLL files that had invalid certificates."
T1598.003,T1598,These links may direct a victim to a credential phishing page.
T1596.001,T1596,Adversaries may search DNS data for information about victims that can be used during targeting.
T1218.010,T1218,"This method makes no changes to the Registry as the COM object is not actually registered, only executed."
T1558.001,T1558,"Using a golden ticket, adversaries are then able to request ticket granting service  tickets, which enable access to specific resources."
T1102.003,T1102,"Alternatively, compromised systems may return no output at all in cases where adversaries want to send instructions to systems and do not want a response."
T1547.012,T1547,"The print spooler service runs under SYSTEM level permissions, therefore print processors installed by an adversary may run under elevated privileges."
T1059.007,T1059,Software can execute JavaScript containing configuration data for establishing persistence.
T1036.004,T1036,Software has mimicked an existing Windows service by being installed as <code>Windows Time Service</code>.
T1027.002,T1027,Software packing is a method of compressing or encrypting an executable.
T1134.004,T1134,"Software relies on parent PID spoofing as part of its ""rootkit-like"" functionality to evade detection via Task Manager or Process Explorer."
T1195.002,T1195,Software by compromising the legitimate Ukrainian accounting software M.E.Doc and replacing a legitimate software update with a malicious one.
T1027.004,T1027,These payloads will need to be compiled before execution; typically via native utilities such as csc.exe or GCC/MinGW.
T1563.002,T1563,"With System permissions and using Terminal Services Console, `c:\windows\system32\tscon.exe `, an adversary can hijack a session without the need for credentials or prompts to the user."
T1547.001,T1547,Software can use the <code>HKCU\Software\Microsoft\Windows\CurrentVersion\Run</code> Registry key for persistence.
T1036.004,T1036,Software can impersonate Windows services and antivirus products to avoid detection on compromised systems.
T1021.002,T1021,Attacker has used Windows Explorer to manually copy malicious files to remote hosts over SMB.
T1218.013,T1218,"Mavinject.exe is the Microsoft Application Virtualization Injector, a Windows utility that can inject code into external processes as part of Microsoft Application Virtualization ."
T1548.003,T1548,"This means that, for example, the sudo timeout of one tty will not affect another tty ."
T1021.001,T1021,Software can open an active screen of the victim’s machine and take control of the mouse and keyboard.
T1497.003,T1497,Software has checked if the malware is running in a virtual environment with the anti-debug function GetTickCount to compare the timing.
T1597.001,T1597,Adversaries may search in private threat intelligence vendor data to gather actionable information.
T1070.002,T1070,Attacker has removed system logs from <code>/var/log/syslog</code>.
T1070.009,T1070,Software removed IFEO registry values to clean up traces of persistence.
T1557.003,T1557,Adversaries may use their rogue DHCP server to respond to this request message with malicious network configurations.
T1132.001,T1132,Software exfiltrates data using cookie values that are Base64-encoded.
T1204.001,T1204,Attacker has lured victims into clicking a malicious link delivered through spearphishing.
T1546.001,T1546,Attacker has a HWP document stealer module which changes the default program association in the registry to open HWP documents.
T1136.001,T1136,"Attacker created accounts on victims, including administrator accounts, some of which appeared to be tailored to each individual staging target."
T1546.008,T1546,The  debugger method was likely discovered as a potential workaround because it does not require the corresponding accessibility feature binary to be replaced.
T1056.002,T1056,Software prompts the user for credentials.
T1601.002,T1601,The adversary could then restart the device to implement the change immediately or they could wait until the next time the system restarts.
T1591.004,T1591,Adversaries may gather information about identities and roles within the victim organization that can be used during targeting.
T1588.001,T1588,Attacker acquired and used the Redline password stealer in their operations.
T1564.001,T1564,Software has a dynamic debugging feature to set the file attribute to hidden.
T1566.003,T1566,It is different from other forms of spearphishing in that it employs the use of third party services rather than directly via enterprise email channels.
T1059.005,T1059,Software can use a malicious VBS file for execution.
T1070.004,T1070,Software has the capability to delete files and scripts from the victim's machine.
T1056.001,T1056,"When it first starts, Software spawns a new thread to log keystrokes."
T1565.003,T1565,Adversaries may alter application binaries used to display data in order to cause runtime manipulations.
T1546.012,T1546,"When a process is created, a debugger present in an application’s IFEO will be prepended to the application’s name, effectively launching the new process under the debugger ."
T1027.013,T1027,Software modules are stored encrypted on disk.
T1036.005,T1036,Software has downloaded a DLL to the <code>C:\windows\system32\drivers\</code> folder and renamed it with a <code>.sys</code> extension.
T1584.004,T1584,Attacker compromised legitimate Linux servers running the EXIM mail transfer agent for use in subsequent campaigns.
T1003.004,T1003,"Attacker used several tools for retrieving login and password information, including LaZagne."
T1059.003,T1059,Attacker has executed ransomware using batch scripts deployed via GPO.
T1547.001,T1547,"Software registers itself under a Registry Run key with the name ""USB Disk Security."""
T1562.011,T1562,An adversary can also present a “healthy” system status even after infection.
T1204.002,T1204,Attacker has sent malicious files via email that tricked users into clicking Enable Content to run an embedded macro and to download malicious archives.
T1021.005,T1021,Attacker has used TightVNC to control compromised hosts.
T1053.005,T1053,Software can use `schtasks.exe` to gain persistence.
T1546.005,T1546,Adversaries can use this to register code to be executed when the shell encounters specific interrupts as a persistence mechanism.
T1059.006,T1059,Attacker has used a macOS Python implant to gather data as well as MailFetcher.py code to automatically collect email data.
T1056.001,T1056,"Keylogging is likely to be used to acquire credentials for new access opportunities when  efforts are not effective, and may require an adversary to intercept keystrokes on a system for a substantial period of time before credentials can be successfully captured."
T1071.001,T1071,Software uses Software to communicate with the C2 server over HTTP.
T1562.008,T1562,"Software can disable or otherwise restrict various AWS logging services, such as AWS CloudTrail and VPC flow logs."
T1505.003,T1505,Software is a web shell that can enable the execution of arbitrary commands on compromised web servers.
T1550.003,T1550,Attacker used Kerberos ticket attacks for lateral movement.
T1547.006,T1547,They extend the functionality of the kernel without the need to reboot the system.
T1071.002,T1071,Software has the ability to transfer data between SMB shares.
T1090.001,T1090,Attacker has compromised internal network systems to act as a proxy to forward traffic to C2.
T1090.001,T1090,Adversaries may use an internal proxy to direct command and control traffic between two or more systems in a compromised environment.
T1587.002,T1587,Attacker has created self-signed certificates from fictitious and spoofed legitimate software companies that were later used to sign malware.
T1574.004,T1574,This method may also evade detection from security products since the execution is masked under a legitimate process.
T1598.003,T1598,Software has been delivered via malicious links in phishing emails.
T1027.013,T1027,"For example, Byte Order Mark  headers in text files may be abused to manipulate and obfuscate file content until  execution."
T1053.005,T1053,Software has used scheduled tasks to maintain persistence.
T1598.003,T1598,Attacker has used web beacons in e-mails to track hits to attacker-controlled URL's.
T1552.005,T1552,"Additionally, adversaries may exploit a Server-Side Request Forgery  vulnerability in a public facing web proxy that allows them to gain access to the sensitive information via a request to the Instance Metadata API."
T1556.003,T1556,Software has the ability to replace the pam_unix.so file on an infected machine with its own malicious version that accepts a specific backdoor password for all users.
T1069.001,T1069,"During , the threat actors used the `net group` command as part of their advanced reconnaissance."
T1059.001,T1059,"During the Attacker used PowerShell to create new tasks on remote machines, identify configuration settings, exfiltrate data, and execute other commands."
T1055.001,T1055,Attacker has used Metasploit to perform reflective DLL injection in order to escalate privileges.
T1132.001,T1132,Software can Base32 encode chunks of output files during exfiltration.
T1078.004,T1078,During the Attacker used a compromised O365 administrator account to create a new Service Principal.
T1547.005,T1547,Adversaries may abuse security support providers  to execute DLLs when the system boots.
T1218.011,T1218,Attacker used Rundll32 to execute payloads.
T1071.001,T1071,Attacker uses HTTP for C2 communications.
T1548.006,T1548,"If permissions do not exist, then the user is prompted to grant permission."
T1070.004,T1070,Software has deleted files related to its dynamic debugger feature.
T1059.003,T1059,Attacker ran a reverse shell with Meterpreter. Attacker used JavaScript code and .SCT files on victim machines.
T1608.001,T1608,Attacker has used compromised domains to host its malicious payloads.
T1608.004,T1608,Adversaries may purchase domains similar to legitimate domains
T1027.013,T1027,Software's module file has been encrypted via XOR.
T1505.001,T1505,Adversaries may craft or modify CLR assemblies that are linked to stored procedures since these CLR assemblies can be made to execute arbitrary commands.
T1078.003,T1078,Software can use known credentials to run commands and spawn processes as a local user account.
T1071.004,T1071,"Attacker has performed C2 using DNS via A, OPT, and TXT records."
T1021.002,T1021,Attacker actors have been known to copy files to the network shares of other computers to move laterally.
T1213.003,T1213,Users typically interact with code repositories through a web application or command-line utilities such as git.
T1098.001,T1098,Software can generate SSH and API keys for AWS infrastructure and additional API keys for other IAM users.
T1053.005,T1053,Software has created a scheduled task for persistence.
T1583.001,T1583,Attacker has registered hundreds of domains for use in operations.
T1543.004,T1543,"Additionally, system configuration changes  may cause folders such as <code>usr/local/bin</code> to become globally writeable."
T1059.003,T1059,Software can launch a reverse command shell.
T1069.002,T1069,"Attacker has used the command `net group ""domain admins"" /domain` to enumerate domain groups."
T1546.007,T1546,Adversaries can use netsh.exe helper DLLs to trigger execution of arbitrary code in a persistent manner.
T1036.005,T1036,"Software mimics the resource version information of legitimate Realtek Semiconductor, Nvidia, or Synaptics modules."
T1087.003,T1087,"Attacker used malware to enumerate email settings, including usernames and passwords, from the M.E.Doc application."
T1593.001,T1593,Attacker has copied data from social media sites to impersonate targeted individuals.
T1056.001,T1056,"During , threat actors obtained the password for the victim's password manager via a custom keylogger."
T1098.003,T1098,An adversary may add additional roles or permissions to an adversary-controlled cloud account to maintain persistent access to a tenant.
T1218.014,T1218,Microsoft Management Console  is a binary that may be signed by Microsoft and is used in several ways in either its GUI or in a command prompt.
T1222.001,T1222,Software can use <code>icacls /reset</code> and <code>takeown /F</code> to reset a targeted executable's permissions and then take ownership.
T1059.005,T1059,Attacker's first-stage downloader was a VBA macro.
T1614.001,T1614,"Software can check whether the target system is using Japanese, Taiwanese, or English through detection of specific Windows Security and Internet Explorer dialog."
T1573.002,T1573,Software used TLS to encrypt command and control  communications.
T1037.003,T1037,"Depending on the systems within the network, initializing one of these scripts could apply to more than one or potentially all systems."
T1608.004,T1608,"Endpoint systems may be compromised through browsing to adversary controlled sites, as in ."
T1059.001,T1059,Attacker has used PowerShell Empire.
T1548.001,T1548,"To enable the setgid bit, <code>chmod 2775</code> and <code>chmod g+s</code> can be used."
T1573.002,T1573,This ensures that only the intended recipient can read the encrypted data.
T1548.005,T1548,"Sometimes just-in-time access requests are configured to require manual approval, while other times the desired permissions are automatically granted."
T1560.001,T1560,Attacker has used RAR to compress collected data before exfiltration.
T1036.005,T1036,"Attacker has used the filename `AutoUpdater.js` to mimic legitimate update files and has also used the Cyrillic homoglyph characters С `` and а ``, to produce the filename `Сhrome.Updаte.zip`."
T1056.001,T1056,Software can log keystrokes on the victim’s machine.
T1204.002,T1204,Software requires the user to click on the malicious Word document to execute the next part of the attack.
T1027.001,T1027,"This can be done without affecting the functionality or behavior of a binary, but can increase the size of the binary beyond what some security tools are capable of handling due to file size limitations."
T1071.001,T1071,Software has the ability to use HTTP in C2 communications.
T1480.001,T1480,Environmental keying is an implementation of  that utilizes cryptographic techniques for deriving encryption/decryption keys from specific types of values in a given computing environment.
T1021.006,T1021,Adversaries may use  to interact with remote systems using Windows Remote Management .
T1546.008,T1546,Windows contains accessibility features that may be launched with a key combination before a user has logged in .
T1071.001,T1071,Software uses POST and GET requests over HTTP to communicate with its main C&C server.
T1021.001,T1021,Attacker used RDP to move laterally in victim networks.
T1583.001,T1583,"During , threat actors registered domains for C2."
T1608.003,T1608,Adversaries may install SSL/TLS certificates that can be used during targeting.
T1586.002,T1586,Adversaries may target compromising well-known email accounts or domains from which malicious spam or  emails may evade reputation-based email filtering rules.
T1586.002,T1586,Compromised email accounts can also be used in the acquisition of infrastructure ).
T1036.005,T1036,"In the Attacker renamed files to look like legitimate files, such as Windows update files or Schneider Electric application files."
T1027.013,T1027,Software's configuration is hardcoded and RC4 encrypted within the binary.
T1070.004,T1070,Software can delete files from a compromised host.
T1087.001,T1087,"Attacker used the commands <code>net localgroup</code>,<code>net user</code>, and <code>net group</code> to find accounts on the system."
T1036.002,T1036,RTLO is a non-printing Unicode character that causes the text that follows it to be displayed in reverse.
T1574.013,T1574,Attacker has abused the <code>KernelCallbackTable</code> to hijack process control flow and execute shellcode.
T1053.005,T1053,Software has used a scheduled task for persistence.
T1518.001,T1518,This may include things such as cloud monitoring agents and anti-virus.
T1591.001,T1591,Attacker has collected location information from visitors to their phishing sites.
T1588.004,T1588,Adversaries may register or hijack domains that they will later purchase an SSL/TLS certificate for.
T1055.001,T1055,"Software can execute <code>loadfromfile</code>, <code>loadfromstorage</code>, and <code>loadfrommem</code> to inject a DLL  from disk, storage, or memory respectively."
T1583.006,T1583,"A variety of popular websites exist for adversaries to register for a web-based service that can be abused during later stages of the adversary lifecycle, such as during Command and Control ), , or ."
T1564.008,T1564,Attacker creates inbound rules on the compromised email accounts of security personnel to automatically delete emails from vendor security products.
T1553.002,T1553,"During , the threat actors deployed the MaoCheng dropper with a stolen Adobe Systems digital signature."
T1137.002,T1137,"Adversaries may abuse the Microsoft Office ""Office Test"" Registry key to obtain persistence on a compromised system."
T1566.001,T1566,Attacker sent spearphishing emails with attachments such as compiled HTML  files to initially compromise their victims.
T1542.005,T1542,This technique is similar to  and may result in the network device running a modified image.
T1574.002,T1574,"Software has the ability to side-load malicious DLLs with legitimate applications from Kaspersky, Microsoft, and Google."
T1027.001,T1027,Attacker includes garbage code to mislead anti-malware software and researchers.
T1505.003,T1505,Attacker relies on web shells for an initial foothold as well as persistence into the victim's systems.
T1564.010,T1564,Adversaries may attempt to hide process command-line arguments by overwriting process memory.
T1569.002,T1569,Software to execute a previously transferred ransomware payload on a victim's network.
T1557.001,T1557,Software modules like ntlmrelayx and smbrelayx can be used in conjunction with  and  to gather NetNTLM credentials for  or relay attacks that can gain code execution.
T1518.001,T1518,Software has the ability to check for the presence of Kaspersky security software.
T1218.002,T1218,"Control Panel items are registered executable  or Control Panel  files, the latter are actually renamed dynamic-link library  files that export a <code>CPlApplet</code> function."
T1218.007,T1218,Attacker has used the msiexec.exe command-line utility to download and execute malicious MSI files.
T1552.002,T1552,"Example commands to find Registry keys related to password information: 

* Local Machine Hive: <code>reg query HKLM /f password /t REG_SZ /s</code>
* Current User Hive: <code>reg query HKCU /f password /t REG_SZ /s</code>"
T1574.008,T1574,"For example, ""example.exe"" runs ""cmd.exe"" with the command-line argument <code>net user</code>."
T1562.002,T1562,Attacker used <code>AUDITPOL</code> to prevent the collection of audit logs.
T1090.004,T1090,Software has the ability to accept a value for HTTP Host Header to enable domain fronting.
T1564.004,T1564,Adversaries may use NTFS file attributes to hide their malicious data in order to evade detection.
T1070.002,T1070,"Subfolders in this directory categorize logs by their related functions, such as:

* <code>/var/log/messages:</code>: General and system-related messages
* <code>/var/log/secure</code> or <code>/var/log/auth.log</code>: Authentication logs
* <code>/var/log/utmp</code> or <code>/var/log/wtmp</code>: Login records
* <code>/var/log/kern.log</code>: Kernel logs
* <code>/var/log/cron.log</code>: Crond logs
* <code>/var/log/maillog</code>: Mail server logs
* <code>/var/log/httpd/</code>: Web server access and error logs"
T1027.013,T1027,Software has used XOR with 0x90 to obfuscate its configuration file.
T1053.005,T1053,Software persistence when the host booted.
T1204.002,T1204,Attacker has sent spearphishing attachments attempting to get a user to open them.
T1491.002,T1491,"may be used as a catalyst to trigger events, or as a response to actions taken by an organization or government."
T1547.009,T1547,Attacker has modified LNK shortcuts.
T1574.002,T1574,Software uses DLL side-loading to load malicious programs.
T1059.001,T1059,Software can execute a payload on a remote host with PowerShell. This technique does not write any data to disk. Software can also use Software and other scripting frameworks to perform execution.
T1218.005,T1218,Software can use Mshta.exe to execute additional payloads on compromised hosts.
T1587.004,T1587,", , , , , , and )."
T1218.011,T1218,Software's installer plugin can schedule rundll32.exe to load the dispatcher.
T1598.003,T1598,Attacker has crafted spearphishing emails with hyperlinks designed to trick unwitting recipients into revealing their account credentials.
T1586.001,T1586,These connections may be direct or may include trying to connect through others.
T1053.005,T1053,Software has used a task XML file named <code>mssch.xml</code> to run an IronPython script when a user logs in or when specific system events are created.
T1195.001,T1195,Applications often depend on external software to function properly.
T1027.003,T1027,Attacker has used steganography in multiple operations to conceal malicious payloads.
T1566.003,T1566,"Attacker has used social media platforms, including LinkedIn and Twitter, to send spearphishing messages."
T1027.002,T1027,Attacker has packed malware to help avoid detection.
T1053.005,T1053,Software persists using a scheduled task that executes every minute.
T1053.005,T1053,Attacker has used scheduled tasks to download backdoor tools.
T1027.006,T1027,"For example, JavaScript Blobs can be abused to dynamically generate malicious files in the victim machine and may be dropped to disk by abusing JavaScript functions such as <code>msSaveBlob</code>."
T1059.004,T1059,"Software uses a shell script to execute Mach-o files and <code>osacompile</code> commands such as, <code>osacompile -x -o xcode.app main.applescript</code>."
T1564.001,T1564,Software hides a copy of itself in the user's <code>~/Library</code> directory by using a <code>.</code> at the beginning of the file name followed by 9 random characters.
T1087.004,T1087,"In GCP, <code>gcloud iam service-accounts list</code> and <code>gcloud projects get-iam-policy</code> may be used to obtain a listing of service accounts and users in a project."
T1055.005,T1055,Software has injected code into target processes via thread local storage callbacks.
